property_id,owner_person_id,property_address,purchase_date,purchase_value_inr
PROP00001,PER00565,"H.No. 281, Manne Circle, Dehri 697013",2018-09-19,13971496
PROP00002,PER00816,"55/321, Kakar Marg, Siwan-898898",2025-05-30,1013437
PROP00003,PER00879,"71/57, Kakar Marg, Madurai 792077",2020-07-15,0
PROP00004,PER00819,"H.No. 420, Goyal Zila, Medininagar 523847",2021-10-01,3783568
PROP00005,PER00995,"H.No. 87, Bhavsar Ganj, Jamalpur 797159",2022-08-03,3584274
PROP00006,PER00524,"01, Memon Road, Ongole-441238",2024-12-04,1223664
PROP00007,PER00477,"05, Badal Path, Thanjavur-390692",2018-10-24,1199978
PROP00008,PER00346,"745, Biswas Ganj, Tiruchirappalli-772587",2023-06-02,4720402
PROP00009,PER00855,"08, Goswami, Proddatur 584716",2019-04-12,1272479
PROP00010,PER00308,"95/07, Nagi Path, Nagercoil-930695",2023-05-12,6992185
PROP00011,PER00437,"H.No. 93, Dass Street, Mangalore 696818",2024-08-22,4928354
PROP00012,PER00975,"H.No. 69, Mishra Ganj, Katni-483725",2022-07-14,5706714
PROP00013,PER00457,"H.No. 530, Memon Street, Etawah-053701",2018-03-29,3535419
PROP00014,PER00178,"H.No. 29, Bhatnagar Zila, Barasat-510357",2018-07-31,1235371
PROP00015,PER00563,"01/680, Subramanian Zila, Chennai-599847",2021-04-30,2280174
PROP00016,PER00288,"82/99, Vasa Circle, Rohtak-218492",2020-06-28,31867634
PROP00017,PER00868,"76/05, Balasubramanian Nagar, Singrauli 943209",2019-10-26,1544894
PROP00018,PER00330,"H.No. 370, Badal, Bardhaman-392312",2023-07-05,2089416
PROP00019,PER00017,"59, Bakshi Marg, Bhind-531858",2022-07-29,1071907
PROP00020,PER00202,"103, Sampath Path, Kavali-747425",2018-01-23,18673781
PROP00021,PER00386,"328, Basu, Vellore 955189",2020-10-16,1535217
PROP00022,PER00525,"09/60, Panchal Marg, Mahbubnagar 897684",2017-09-15,2839772
PROP00023,PER00035,"661, Pillai Ganj, Bharatpur 769416",2025-04-22,2288338
PROP00024,PER00266,"04, Pillay Street, Vellore 909451",2018-10-22,6599072
PROP00025,PER00720,"H.No. 87, Padmanabhan Road, Chandrapur-752402",2025-03-23,3422259
PROP00026,PER00336,"44/28, Naik, Aurangabad-802659",2019-06-18,3904587
PROP00027,PER00122,"H.No. 299, Bhatti, Ichalkaranji-657061",2019-07-16,468775
PROP00028,PER00774,"H.No. 076, Ramachandran Zila, Haridwar 405032",2021-04-15,5049566
PROP00029,PER00810,"H.No. 913, Palan Marg, Ratlam 587070",2022-11-20,5938431
PROP00030,PER00958,"05, Dewan Nagar, Darbhanga-269368",2023-02-15,2257599
PROP00031,PER00373,"H.No. 273, Ramaswamy Path, Mangalore-975171",2019-02-03,3075891
PROP00032,PER00615,"42/43, Chander Circle, Berhampur 700675",2018-04-17,99175591
PROP00033,PER00849,"51, Nath Road, Bharatpur 017188",2025-03-29,5565932
PROP00034,PER00578,"34/249, Nanda Ganj, Khammam 531683",2025-05-17,3677508
PROP00035,PER00714,"73/41, Nadig Ganj, Belgaum 202285",2018-09-02,3773897
PROP00036,PER00389,"97/74, Chaudry Circle, Tirupati 920868",2021-11-20,4662591
PROP00037,PER00250,"H.No. 898, Basu Circle, Raipur-799546",2025-06-08,3760316
PROP00038,PER00840,"H.No. 51, Bains Street, North Dumdum 487697",2024-08-06,1802726
PROP00039,PER00460,"H.No. 292, Rastogi Marg, Sri Ganganagar 432330",2019-06-05,23399676
PROP00040,PER00511,"69, Sangha, Madanapalle 282554",2018-07-22,4355309
PROP00041,PER00259,"55, Sampath Ganj, Raurkela Industrial Township 006984",2022-11-10,938570
PROP00042,PER00422,"329, Char Ganj, Srikakulam 697236",2022-01-11,6613123
PROP00043,PER00073,"H.No. 91, Kaur Chowk, Malegaon 386240",2020-01-28,5223501
PROP00044,PER00217,"H.No. 458, Prashad Road, Bharatpur-670697",2019-12-18,4059578
PROP00045,PER00013,"89/62, Sharaf Street, Pondicherry-144012",2024-12-03,4376673
PROP00046,PER00797,"H.No. 543, Memon Chowk, Maheshtala 744383",2022-09-06,41400359
PROP00047,PER00931,"989, Dhingra Nagar, Bhimavaram-950116",2017-09-14,493762
PROP00048,PER00963,"H.No. 62, Krishnamurthy Road, Dindigul-170424",2019-07-30,4590214
PROP00049,PER00068,"04, Bail Road, Rajkot 445094",2017-11-06,969409
PROP00050,PER00967,"445, Bhandari, Thoothukudi 021239",2020-12-13,5168091
PROP00051,PER00456,"H.No. 24, Buch Zila, Mangalore 134858",2021-02-03,2229405
PROP00052,PER00359,"43/264, Nagy Zila, Bareilly-819183",2022-09-29,904115
PROP00053,PER00121,"H.No. 72, Nori Street, Katihar 513590",2017-10-18,1326650
PROP00054,PER00631,"30/61, Deol Zila, Tadipatri-937171",2022-12-17,1022099
PROP00055,PER00255,"026, Prabhakar Chowk, Madanapalle 535532",2025-04-13,5044510
PROP00056,PER00025,"79/63, Aggarwal Nagar, Hubli–Dharwad-208123",2025-04-21,20780026
PROP00057,PER00568,"25, Bal Street, Raiganj-341146",2020-12-31,3119448
PROP00058,PER00253,"24/42, Ranganathan Marg, Bilaspur 279512",2021-12-23,18429476
